id,url,owner,dl,lang,dur,caption_len,transcript_len,caption,transcript
DTU6Q3TgeHA,https://www.instagram.com/reel/DTU6Q3TgeHA/,yellwidit,ok,en,7.4,856,0,"Be a woman who checks me when I’m wrong, not someone who disappears the moment things get uncomfortable. Real love isn’t perfect behavior, it’s staying when growth is messy, calling out the mistakes, and choosing to fix what’s broken instead of walking away. I don’t need someone who runs at the first flaw — I need someone who stays and makes sure I do better next time.

The clip is from Spider-Man: Into the Spider-Verse (2018), showing Peter B. Parker sitting on the edge of a skyscraper, holding",
DW6W0njTafr,https://www.instagram.com/reel/DW6W0njTafr/,ved.iyer,ok,ko,22.2,502,0,"Social media will have you thinking you’re behind.
Behind on love. Behind on money. Behind on life.

But behind who? Someone’s highlight reel? A timeline you never agreed to?

There’s no universal clock. No age where you’re supposed to have it all figured out. Everyone’s on a different path, carrying weight you can’t see.

So stop comparing chapters.
Look at how far you’ve come. What you’ve survived. Who you’re becoming.

You’re not behind. You’re just on your own path ❤️

Welcome to my account ",
DMFCoAXNvVs,https://www.instagram.com/reel/DMFCoAXNvVs/,beyondstartup.s,fail: ERROR: [Instagram] DMFCoAXNvVs: Instagram sent an empty media response. Check if this post is accessible in your browser,,0,939,0,"Steve Jobs helped lay the foundation for what would become a $3 trillion company by 2025 but his path was fueled by an intense, often ruthless drive.

Known for his relentless perfectionism and emotional volatility, Jobs created what colleagues called a ""reality distortion field"" -pushing teams to achieve what seemed impossible, like the creation of the original Mac and later the iPhone. But that same drive led to berating engineers, abrupt firings, and a culture of fear, as detailed in Walter I",
DNiNirEzYcy,https://www.instagram.com/reel/DNiNirEzYcy/,codecrookshanks,ok,,0,91,107,"Comment “github” for more such content 🫶

@codecrookshanks 🔥

#Github #repository #tech #ai",तोडि़ सी दाउ मेरे अंदर अffer bölछा पूल आम तोकों रबd करााते ज़ास बुली लोग मेよねं ृने और करा । तूग �Os bargain
DOs-XNIEpQx,https://www.instagram.com/reel/DOs-XNIEpQx/,alex.d.libin,ok,en,15.3,93,287,"Legs not straight? Try this exercise! 
#reels 
#explore 
#health 
#exercise 
#pain 
#wellness","Because you start to do 20 of this daily, your legs will start to become straighter. Because you start to do 50% of this daily, your inner thighs will start to slim down. Because you start to do 100 of this daily, your butt will start to look firm, and your lower back pain will be gone."
DSdP9wyE0yR,https://www.instagram.com/reel/DSdP9wyE0yR/,cookiemonsterprishahah,ok,en,45.8,177,903,"jitna bhi try karo, kuch na kuch toh chhootega hi.
.
.
.
.
.
[yjhd, growth, content, 19, mindset, trying new things, explore, college, movies, niche, creating, disruption, life]","I think this is very underrated. I'm 19 and I just started creating content. And the only advice that I got from so many big creators is to first find a topic that interests me. Marketing, business, finance, anything, but lifestyle because that doesn't get me paid. And number two, when you don't know what to post, find and steal content from the people that have already made it big. But great, it's not underrated. If nothing, this is way too overused and overrated because this advice is just a less-venty way of saying, pick a niche and marry it. But, I am 19 and right now I cannot have dal jaal for 50 years tillernai. Mujhe bhi urmai, gidmai, dal nai, bas ruknai nahi hai. And that is exactly what's underrated. To figure out who you are before you decide who you want to be. And it's always better to be you than somebody else. You know what I mean? Follow along if this makes any sense to you."
DS7n1bzjV6a,https://www.instagram.com/reel/DS7n1bzjV6a/,jayvakill,ok,en,55.1,62,1008,"Take that bet on yourself.
And the dots will connect.
Trust me","I rejected JB Morrill's job offer, dream company, dream role and you know what I kind of dreamed of but it felt I was. I sat with it and I thought about it for days and weeks. You know what the actual hard part was? It wasn't rejecting the offer. It was actually knowing that I would have to explain. It's been into my 3 close friends, 10 people I worked with, my 200 LinkedIn connections and my parents. Who I promised would say you're out of your mind and maybe I was. But I felt like I would be agreeing to a life that wasn't really mine. So I turned it down and met this really cool friend of mine and we ended up starting a company together. It's called Today's The Day and while building our business we ended up meeting cool founders, CEOs and became really good friends with him. And this is something I recently realized. It always looks hard at the end but once you've began your own path you kind of almost find a way to figure it out. So take a bet on yourself. Who knows? It might just work out."
C-IggnvoxAB,https://www.instagram.com/reel/C-IggnvoxAB/,glowup_with_lubnaa,ok,en,14.1,409,0,"Summer DIY Facial For remove tanning , dirt & get super Glowy skin 🎀 #tanning #skincare #skincaretips #summerglow #summerglowup #glowup #sunmer #diy #facial #homemade #glowyskin #glowyskincare #naturalingredients #facialathome #glassskin #brightskin #forallskintypes #instagram #instagood #instalike #instadaily #reelsinstagram #reels #explore #explorepage #fyp #viralvideos #viral #summertime☀️ #hydratedskin",
DSotBvjjsAx,https://www.instagram.com/reel/DSotBvjjsAx/,vardy.mov,ok,en,92.3,445,2045,"its been a while 🙂->

this is a long overdue update about how i won the biggest hackathon of the year at xAI; competition was intense (engineers from deepmind, tesla optimus, etc) and none of us really slept PLUS i had 2 exams the monday after my redeye back from the hackathon

there’s a lot more i have to share about xai and the hackathon so be sure to follow/stay tuned for future updates 

devpost https://devpost.com/software/vector-l89mzu","First place goes to General Specter. Two weeks ago Elon Musk himself flew me and my two teammates out to the XAI hackathon in San Francisco. Now the competition was basically as good as it gets. I mean there were engineers from the best AI labs, the best tech companies, but as three college kids we somehow won it all. Here's the story of how it happened and trust me you're going to use the stuff you learned from this video to win your next hackathon too. Alright so on Friday we flew out to San Francisco. Now I like being prepared so I spent the entire flight thinking of ideas when I really should have been studying for my exams. The only thing you need to understand about going to hackathons or building MVPs for startups is that 99% of it at first is just the idea. You need to somehow know what people want before they even know that they want it. And the best way to do this is by identifying a problem that's really common in a lot of people's lives. Anyways I spent the entire flight just thinking of ideas and the next day after we landed we met up with our third teammate who just so happens to also be an influencer. We're here we made it. We're about to take a dump today. We brainstormed some more on Stanford's campus, we got some lunch and then we headed over to the XAI office in Palo Alto. It could be a modest use of... When you get to the hackathon the first thing you want to do is go to the people who are judging your project and start pitching them your ideas. From there was just a matter of execution and the end result was pretty good honestly. I mean take a look for yourself. I'm Vinith, I'm Yvraj, and I'm Vardin. We built Vector which enables builders on X to involve their community and their products. Let's say we just launched a web app that compiles free resources for... And yeah it was a great event. In the end we won an all expenses paid trip to a SpaceX launch with Elon. But there's a lot more to this story I haven't told you about yet. So drop a follow to stay tuned for some pretty cool updates."
DHr7rWIhG2S,https://www.instagram.com/reel/DHr7rWIhG2S/,vee_daily19,ok,en,64.3,247,1501,"CONSULTING CHEATSHEET
. 
. 
. 
{consulting , resource , tech ,projects, internships, job search }
.
.
#technology #trending #jobsearch #parttime  #techconsulting #tech #hacks #behavioral #nodaysoff #veeconsistent #linkedin #emails #dataengineering","How many tennis balls can fit in a Boeing 737 plane? I still remember being asked that question in college consulting group and what ensued was stunned silence and abject failure. And at that point if you had told me I would work in a consulting firm at Wall Street, two years later I would have laughed. But as the saying goes, if you are unsure about which career you want to pursue, try consulting. The dynamic opportunities and the pay package it provides are only exponential over time. But to get in, I had to tackle curveball questions like how many pizzas does USA consume in a day? This is when my consultant friend advised me. The point of those questions was to not have an exact answer but to analyze your thinking. And the moment I realized this, I knew I had to make a plan to answer them. So I created a 3-plan approach which was to have a rough structure in my mind to approach these questions, ask follow-ups and more importantly use the questions to buy time to get my thinking right. And once this was mastered I applied it across casing questions too which brought me success there as well. And obviously to put my consulting hat on, I created a cheat sheet of sorts which would help you tackle not just these questions successfully but also the entire interview loop especially if you are interested in a consulting career. And your job is to practice this regularly because if you do these questions will become muscle memory for you. Comment consulting to get the link for free."
